df4a1b41927bcee,tag_origin
98a80e1227269b3,j_mainroot
2d9388914b963c6,j_spinelower
ab5603b26fbb813,j_spineupper
3d2e4ec60ee14f7,j_spine4
d888dab06e82f65,j_neck
62622da9607f4d0,j_head
ad3e8df222492cd,j_clavicle_le
4b2e36a274ee9c,j_clavicle_le_tr
fc060b3d3bb994c,j_shoulder_le
a1525337fb436ba,j_shoulder_le_rot
dc75f8b34c0b431,j_elbow_le
b685619bd1fdaed,j_wrist_le
903108950b3b266,j_wristtwist_le
a6db8df21cd8e0b,j_clavicle_ri
b958d4a4573c1de,j_clavicle_ri_tr
f7590b3d37bff62,j_shoulder_ri
30bbf7d0ebd669c,j_shoulder_ri_rot
d7d578b34826e1f,j_elbow_ri
b022619bcc8d62b,j_wrist_ri
8ab3089506972f0,j_wristtwist_ri
6eafbdde8b36d4f,j_hip_le
aba5350160712f1,j_knee_le
aa200d5d0fcab0d,j_ankle_le
6e3e3dde8ad25d9,j_hip_ri
a6f4b5015c719df,j_knee_ri
a3bd0d5d0a5a64b,j_ankle_ri
22c82ac1682f2f5,tag_weapon_right
9318b8cf6f13160,tag_weapon_left
41d631bb90a346,tag_weapon_chest
dc9e87fdd3259b2,j_eyeball_ri
da7f87fdd158e7c,j_eyeball_le
213202dc8ca3ece,TAG_ORIGIN
dc5f3627d65cc49,pcube1
e5d631e3ae5fba0,tag_body
6279fb4e0150189,tag_wheel_back_left
6b46e8d33e6a9ea,tag_wheel_back_right
304bb8adb9c662d,tag_wheel_front_left
71dae24d0005aa6,tag_wheel_front_right
ccab538611391af,tag_wheel_middle_left
c29cb5a1dbaf9a0,tag_wheel_middle_right
9bc04a28632b5ba,tag_driver
40ae74809f9ceda,tag_engine_left
29b332571c571c7,tag_engine_right
801cfd66d8a54cc,tag_guy01
801d2d66d8a59e5,tag_guy02
801d1d66d8a5832,tag_guy03
801ccd66d8a4fb3,tag_guy04
801cbd66d8a4e00,tag_guy05
801ced66d8a5319,tag_guy06
801cdd66d8a5166,tag_guy07
